run_id,episode,total_reward,avg_reward,epsilon,alpha,gamma,qtable_coverage
1,415,-120,-0.29,0.1249,0.1,0.9,98.0
1,416,-195,-0.47,0.12428,0.1,0.9,98.0
1,417,-315,-0.76,0.12366,0.1,0.9,98.0
1,418,-240,-0.57,0.12304,0.1,0.9,98.0
1,419,-275,-0.66,0.12243,0.1,0.9,98.0
1,420,-130,-0.31,0.12181,0.1,0.9,98.0
1,421,-100,-0.24,0.1212,0.1,0.9,98.0
1,422,-190,-0.45,0.1206,0.1,0.9,98.0
1,423,-165,-0.39,0.12,0.1,0.9,98.0
1,424,-185,-0.44,0.1194,0.1,0.9,98.0
1,425,-240,-0.56,0.1188,0.1,0.9,98.0
1,426,-100,-0.23,0.1182,0.1,0.9,98.0
1,427,-185,-0.43,0.11761,0.1,0.9,98.0
1,428,-200,-0.47,0.11702,0.1,0.9,98.0
1,429,-235,-0.55,0.11644,0.1,0.9,98.0
1,430,-185,-0.43,0.11586,0.1,0.9,98.0
1,431,-60,-0.14,0.11528,0.1,0.9,98.0
1,432,-140,-0.32,0.1147,0.1,0.9,98.0
1,433,-130,-0.3,0.11413,0.1,0.9,98.0
1,434,-275,-0.63,0.11356,0.1,0.9,98.0
1,435,-210,-0.48,0.11299,0.1,0.9,98.0
1,436,-165,-0.38,0.11243,0.1,0.9,98.0
1,437,-150,-0.34,0.11186,0.1,0.9,98.0
1,438,-170,-0.39,0.1113,0.1,0.9,98.0
1,439,-165,-0.38,0.11075,0.1,0.9,98.0
1,440,-60,-0.14,0.11019,0.1,0.9,98.0
1,441,-255,-0.58,0.10964,0.1,0.9,98.0
1,442,-285,-0.64,0.10909,0.1,0.9,98.0
1,443,-80,-0.18,0.10855,0.1,0.9,98.0
1,444,-235,-0.53,0.10801,0.1,0.9,98.0
1,445,-165,-0.37,0.10747,0.1,0.9,98.0
1,446,-100,-0.22,0.10693,0.1,0.9,98.0
1,447,-185,-0.41,0.10639,0.1,0.9,98.0
1,448,-60,-0.13,0.10586,0.1,0.9,98.0
1,449,-165,-0.37,0.10533,0.1,0.9,98.0
1,450,-185,-0.41,0.10481,0.1,0.9,98.0
1,451,-130,-0.29,0.10428,0.1,0.9,98.0
1,452,-185,-0.41,0.10376,0.1,0.9,98.0
1,453,-100,-0.22,0.10324,0.1,0.9,98.0
1,454,-80,-0.18,0.10273,0.1,0.9,98.0
1,455,-250,-0.55,0.10221,0.1,0.9,98.0
1,456,-80,-0.18,0.1017,0.1,0.9,98.0
